GameNumber,HomeTeam,AwayTeam,Home_Past3_Form,Home_Past5_Form,Home_Streak,Home_Current_Standing,Home_Past_Standing,Home_Goals_Per_Game,Home_Shots_Per_Game,Home_SOT_Per_Game,Home_Corners_Per_Game,Home_Fouls_Per_Game,Home_Reds_Last2,Home_Yellows_Last2,Away_Past3_Form,Away_Past5_Form,Away_Streak,Away_Current_Standing,Away_Past_Standing,Away_Goals_Per_Game,Away_Shots_Per_Game,Away_SOT_Per_Game,Away_Corners_Per_Game,Away_Fouls_Per_Game,Away_Reds_Last2,Away_Yellows_Last2,Home_H2H_Past3,Home_H2H_Past5,Away_H2H_Past3,Away_H2H_Past5,Home_Goals,Away_Goals,Match_Result
1,Blackburn,Wolves,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,1,1
2,Liverpool,Burnley,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,1
3,Man City,Arsenal,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,2,1
4,Portsmouth,Bolton,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,16,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,3,-1
5,Stoke,Chelsea,0,0,0,0,21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,2,-1
6,Sunderland,Hull,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,1,1
7,Tottenham,Man United,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,3,-1
8,Wigan,West Ham,0,0,0,0,14,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1
9,Bolton,Tottenham,1,1,1,4,16,3.0,14.0,6.0,5.0,17.0,0,0,-1,-1,-1,15,11,1.0,11.0,7.0,3.0,16.0,0,3,0,0,0,0,2,2,0
10,Hull,Wigan,-1,-1,-1,15,21,1.0,6.0,5.0,8.0,15.0,0,2,1,1,1,8,14,1.0,12.0,6.0,6.0,13.0,0,2,0,0,0,0,2,1,1
11,Man United,Sunderland,1,1,1,8,1,3.0,17.0,13.0,9.0,13.0,1,2,1,1,1,6,15,4.0,7.0,4.0,7.0,18.0,0,2,0,0,0,0,2,2,0
12,Wolves,Portsmouth,-1,-1,-1,11,21,1.0,9.0,5.0,6.0,16.0,0,2,-1,-1,-1,14,8,2.0,21.0,11.0,7.0,17.0,0,2,0,0,0,0,0,1,-1
13,Burnley,Birmingham,-1,-1,-1,13,21,0.0,6.0,3.0,5.0,10.0,0,2,0,0,0,0,21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,1,1
14,Arsenal,Blackburn,-1,-1,-1,14,3,2.0,19.0,9.0,12.0,12.0,0,2,1,1,1,4,7,3.0,13.0,10.0,10.0,13.0,0,1,0,0,0,0,6,2,1
15,Chelsea,Liverpool,1,1,1,10,2,2.0,18.0,10.0,14.0,11.0,0,3,1,1,1,5,4,4.0,27.0,16.0,7.0,8.0,0,0,0,0,0,0,2,0,1
16,West Ham,Fulham,-1,-1,-1,16,10,0.0,12.0,5.0,7.0,11.0,0,1,0,0,0,0,17,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,2,0
17,Everton,Stoke,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,-1,17,21,1.0,4.0,2.0,4.0,13.0,0,3,0,0,0,0,1,1,0
18,Aston Villa,Man City,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,8,9,4.0,10.0,6.0,3.0,13.0,0,3,0,0,0,0,1,1,0
19,Birmingham,Man City,-1,-1,-1,20,21,1.0,10.0,6.0,4.0,11.0,0,3,1,1,0,2,9,2.5,9.5,6.5,4.5,10.5,0,5,0,0,0,0,0,0,0
20,West Ham,Aston Villa,-1,-1,0,15,10,1.0,16.0,7.5,7.5,11.5,0,4,0,0,0,19,6,1.0,12.0,6.0,6.0,10.0,0,1,0,0,0,0,2,1,1
21,Aston Villa,Bolton,-1,-1,-1,19,6,1.0,12.5,8.0,10.0,11.0,1,5,1,1,0,3,16,2.5,13.0,7.5,5.0,16.0,0,2,0,0,0,0,5,1,1
22,Blackburn,Portsmouth,0,0,-1,8,7,2.5,10.0,8.5,5.5,11.5,0,2,0,0,1,12,8,1.5,16.5,9.5,6.5,14.5,0,4,0,0,0,0,3,1,1
23,Man City,Burnley,1,1,0,3,9,1.67,11.0,6.33,5.67,9.67,0,3,0,0,1,10,21,1.0,10.5,8.0,6.5,13.5,0,2,0,0,0,0,3,3,0
24,Tottenham,Sunderland,-1,-1,0,16,11,1.5,14.0,8.0,4.5,16.0,0,4,1,1,0,6,15,3.0,5.5,3.5,4.0,16.5,1,5,0,0,0,0,2,0,1
25,Wolves,Arsenal,-2,-2,-2,20,21,0.5,10.0,5.0,7.0,12.0,0,3,0,0,1,12,3,4.0,21.5,13.5,10.0,10.5,0,3,0,0,0,0,1,4,-1
26,Hull,Stoke,0,0,1,14,21,1.5,8.5,5.5,6.0,14.5,0,2,-1,-1,0,16,21,1.0,6.0,4.0,4.0,14.0,0,6,0,0,0,0,2,1,1
27,Chelsea,Man United,2,2,2,4,2,2.0,15.0,9.0,9.5,12.5,0,4,1,1,0,10,1,2.5,17.0,11.0,11.5,12.0,1,4,0,0,0,0,1,0,1
28,West Ham,Everton,0,0,1,11,10,1.33,15.33,7.33,7.0,11.33,0,5,0,0,0,19,5,1.0,24.0,17.0,11.0,5.0,0,1,0,0,0,0,1,2,-1
29,Wigan,Fulham,0,0,-1,16,14,1.0,12.5,5.5,4.0,10.5,0,4,0,0,0,19,17,2.0,10.0,6.0,4.0,9.0,1,2,0,0,0,0,1,1,0
30,Liverpool,Birmingham,0,0,-1,15,4,2.0,19.5,9.5,7.5,12.5,0,1,-1,-1,0,19,21,0.5,8.5,5.0,4.0,10.0,1,6,0,0,0,0,2,2,0
31,West Ham,Man United,0,-1,-1,13,10,1.25,15.5,7.25,6.5,11.5,0,2,0,0,-1,11,1,1.67,18.33,10.67,10.0,13.0,0,5,0,0,0,0,0,4,-1
32,Portsmouth,Burnley,-1,-1,-1,16,8,1.33,14.0,7.33,6.0,15.67,0,5,0,0,0,8,21,1.67,9.0,6.67,5.33,12.67,0,3,0,0,0,0,2,0,1
33,Man City,Chelsea,0,1,0,4,9,2.0,11.5,6.75,6.25,9.75,0,2,3,3,3,1,2,1.67,14.0,9.0,6.33,12.67,0,4,0,0,0,0,2,1,1
34,Wigan,Birmingham,0,0,0,13,14,1.0,14.67,7.67,6.0,12.0,0,4,-1,-1,0,17,21,1.0,7.33,4.0,3.0,9.67,1,5,0,0,0,0,2,3,-1
35,Aston Villa,Hull,0,0,1,17,6,2.33,14.67,9.67,9.33,13.0,1,5,1,1,2,7,21,1.67,11.0,6.33,5.33,13.67,0,1,0,0,0,0,3,0,1
36,Arsenal,Stoke,1,1,2,6,3,4.0,18.0,11.0,8.0,12.0,0,4,-2,-2,-1,19,21,1.0,6.33,4.0,3.33,14.0,1,7,0,0,0,0,2,0,1
37,Blackburn,Liverpool,1,1,1,6,7,2.67,10.0,7.67,6.33,11.67,0,4,0,0,0,10,4,2.0,22.0,11.0,8.67,10.67,0,2,0,0,0,0,0,0,0
38,Wolves,Bolton,-3,-3,-3,20,21,0.67,9.33,5.33,6.0,11.0,0,3,0,0,-1,12,16,2.0,13.0,8.0,3.67,16.0,0,6,0,0,0,0,2,1,1
39,Everton,Tottenham,1,1,1,17,5,1.5,16.5,11.5,7.5,11.5,0,6,0,0,1,14,11,1.67,12.67,8.0,4.33,14.0,0,2,0,0,0,0,2,2,0
40,Fulham,Sunderland,0,0,0,19,17,1.5,8.5,4.5,5.0,12.5,1,3,0,0,-1,15,15,2.0,8.33,4.33,4.0,17.33,1,5,0,0,0,0,1,0,1
41,Tottenham,Wolves,1,0,0,10,11,1.75,14.25,8.75,4.75,15.0,0,5,-1,-2,1,19,21,1.0,10.0,6.75,7.25,10.5,0,4,0,0,0,0,0,1,-1
42,Birmingham,West Ham,1,0,1,12,21,1.5,8.0,5.25,2.75,9.25,0,2,-1,-2,-2,19,10,1.0,14.6,7.2,5.6,10.8,0,0,0,0,0,0,1,0,1
43,Bolton,Man City,-2,-1,-2,16,16,1.75,14.0,8.5,5.25,16.0,0,5,1,2,1,1,9,2.0,11.8,7.0,6.8,10.2,0,2,0,0,0,0,3,3,0
44,Burnley,Fulham,0,-1,-1,16,21,1.25,10.25,7.0,5.25,13.0,0,5,1,1,1,14,17,1.33,11.0,4.67,4.67,11.33,0,2,0,0,0,0,1,1,0
45,Chelsea,Everton,1,2,-1,3,2,1.5,13.0,8.25,6.25,13.75,0,9,1,1,0,16,5,1.67,16.0,9.67,5.33,11.33,0,9,0,0,0,0,3,3,0
46,Hull,Blackburn,1,0,-1,10,21,1.25,9.5,5.0,4.75,14.0,0,4,0,1,0,5,7,2.0,9.75,6.5,5.0,12.5,0,4,0,0,0,0,0,0,0
