AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,Date,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,Referee,VCA,VCD,VCH,WHA,WHD,WHH
6,14,0,14,7,2,Wigan,5.5,3.6,1.67,5.0,3.4,1.65,15/08/09,E0,2,0,A,4,15,0,11,5,1,0,A,2,Aston Villa,4.9,3.5,1.7,M Clattenburg,5.0,3.4,1.7,5.5,3.4,1.7
4,9,0,8,5,1,Man City,2.1,3.25,3.6,2.0,3.15,3.4,15/08/09,E0,2,0,A,5,12,0,17,9,1,0,A,2,Blackburn,2.2,3.2,3.2,M Dean,2.2,3.2,3.25,2.15,3.2,3.5
7,10,0,20,13,1,Sunderland,3.25,3.25,2.25,3.15,3.15,2.15,15/08/09,E0,1,0,A,4,16,0,11,3,1,0,A,2,Bolton,3.2,3.2,2.2,A Marriner,3.1,3.2,2.25,3.2,3.2,2.3
4,15,0,7,3,2,Hull,21.0,6.5,1.17,13.0,6.0,1.17,15/08/09,E0,1,2,H,12,13,0,26,12,1,1,D,1,Chelsea,14.0,5.5,1.2,A Wiley,17.0,6.0,1.17,21.0,6.5,1.17
9,13,0,15,9,0,Arsenal,2.3,3.25,3.2,2.25,3.15,2.95,15/08/09,E0,6,1,A,4,11,0,8,5,3,0,A,0,Everton,2.3,3.1,3.1,M Halsey,2.3,3.3,2.9,2.3,3.2,3.2
4,18,0,9,3,2,Fulham,2.75,3.2,2.63,2.85,3.15,2.3,15/08/09,E0,1,0,A,6,11,0,16,4,1,0,A,3,Portsmouth,2.7,3.2,2.5,M Atkinson,2.62,3.2,2.62,2.6,3.2,2.75
6,10,0,9,5,2,Burnley,4.33,3.3,1.91,4.0,3.2,1.85,15/08/09,E0,0,2,H,3,15,0,12,5,0,2,H,2,Stoke,3.9,3.3,1.9,S Bennett,4.0,3.25,1.9,4.0,3.2,2.0
6,5,0,16,13,0,West Ham,2.7,3.3,2.63,2.55,3.15,2.55,15/08/09,E0,2,0,A,8,9,0,19,11,1,0,A,0,Wolves,2.55,3.3,2.55,C Foy,2.62,3.25,2.5,2.7,3.2,2.62
2,7,0,6,4,1,Birmingham,17.0,6.0,1.2,12.0,5.5,1.2,16/08/09,E0,0,1,H,13,13,0,26,17,0,1,H,1,Man United,12.0,5.7,1.2,L Mason,17.0,6.0,1.17,19.0,5.5,1.2
5,16,0,6,3,3,Liverpool,2.3,3.25,3.2,2.1,3.15,3.25,16/08/09,E0,1,2,H,6,14,0,17,11,0,1,H,3,Tottenham,2.3,3.1,3.1,P Dowd,2.25,3.25,3.0,2.3,3.2,3.2
14,10,0,20,9,2,Chelsea,1.53,4.0,6.5,1.45,3.85,6.5,18/08/09,E0,3,1,A,1,14,0,4,3,0,1,H,2,Sunderland,1.5,3.8,6.7,S Bennett,1.57,3.5,6.5,1.5,3.8,7.5
4,21,0,9,3,3,Wolves,5.25,3.6,1.73,5.0,3.4,1.65,18/08/09,E0,1,0,A,4,8,0,18,5,1,0,A,0,Wigan,4.6,3.5,1.75,M Jones,5.0,3.5,1.67,5.0,3.25,1.8
5,20,0,9,4,5,Portsmouth,4.0,3.3,2.0,3.75,3.25,1.9,19/08/09,E0,0,1,H,4,11,0,9,5,0,0,D,0,Birmingham,3.25,3.25,2.15,L Probert,3.5,3.25,2.0,3.75,3.25,2.05
12,12,0,18,9,1,Man United,1.33,5.0,9.5,1.3,4.5,9.0,19/08/09,E0,0,1,H,1,8,0,8,2,0,1,H,2,Burnley,1.35,4.5,8.5,A Wiley,1.33,4.5,9.5,1.33,4.5,11.0
5,13,0,18,12,2,Tottenham,2.0,3.5,3.75,1.9,3.3,3.65,19/08/09,E0,5,1,A,6,23,0,9,7,3,1,A,3,Hull,2.0,3.3,3.6,C Foy,2.0,3.25,3.4,2.0,3.2,4.0
5,9,0,6,3,1,Stoke,13.0,5.5,1.25,13.0,5.25,1.2,19/08/09,E0,0,4,H,11,10,0,18,13,0,2,H,0,Liverpool,13.0,5.3,1.22,P Walton,11.0,4.5,1.29,15.0,5.0,1.25
4,10,0,9,4,0,Portsmouth,19.0,7.0,1.17,15.0,6.0,1.15,22/08/09,E0,1,4,H,8,9,0,19,16,1,2,H,1,Arsenal,14.0,5.5,1.2,S Bennett,15.0,6.5,1.17,19.0,6.5,1.17
3,13,0,13,3,3,Stoke,3.25,3.2,2.3,3.2,3.2,2.1,22/08/09,E0,0,0,D,3,8,0,8,6,0,0,D,0,Birmingham,3.2,3.2,2.2,C Foy,3.4,3.25,2.1,3.2,3.2,2.3
12,19,0,20,10,2,Bolton,2.8,3.25,2.6,2.85,3.1,2.35,22/08/09,E0,0,1,H,4,19,0,12,5,0,0,D,3,Hull,2.95,3.25,2.3,M Jones,2.8,3.25,2.4,2.88,3.2,2.5
6,11,0,10,2,1,Wolves,12.0,4.5,1.33,10.5,4.85,1.25,22/08/09,E0,0,1,H,5,7,0,16,11,0,1,H,0,Man City,8.5,4.5,1.35,L Mason,9.0,4.5,1.33,10.0,4.33,1.36
10,14,0,18,5,1,Blackburn,3.75,3.25,2.1,3.45,3.2,2.0,22/08/09,E0,1,2,H,0,12,0,8,5,1,1,D,2,Sunderland,3.4,3.25,2.1,A Wiley,3.75,3.2,2.0,3.6,3.2,2.1
5,8,0,16,13,2,Man United,1.53,4.0,6.5,1.52,3.6,6.0,22/08/09,E0,5,0,A,3,11,0,16,7,0,0,D,2,Wigan,1.6,3.6,5.6,H Webb,1.5,3.75,7.0,1.53,3.75,7.0
7,13,0,17,11,0,Everton,2.2,3.3,3.4,2.15,3.2,3.1,23/08/09,E0,0,1,H,3,11,0,8,4,0,1,H,1,Burnley,2.3,3.2,3.0,P Dowd,2.25,3.25,3.0,2.25,3.3,3.2
7,10,0,12,4,0,Chelsea,1.57,3.8,6.5,1.5,3.6,6.25,23/08/09,E0,2,0,A,4,11,0,4,1,1,0,A,0,Fulham,1.55,3.7,6.0,A Marriner,1.5,3.75,6.5,1.57,3.5,7.0
