Home_Past3_Form,Home_Past5_Form,Home_Streak,Home_Current_Standing,Home_Past_Standing,Home_Goals_Per_Game,Home_Shots_Per_Game,Home_SOT_Per_Game,Home_Corners_Per_Game,Home_Fouls_Per_Game,Home_Reds_Last2,Home_Yellows_Last2,Home_Goals_Against_Per_Game,Home_Shots_Against_Per_Game,Home_SOT_Against_Per_Game,Home_Corners_Against_Per_Game,Home_Fouls_Against_Per_Game,Away_Past3_Form,Away_Past5_Form,Away_Streak,Away_Current_Standing,Away_Past_Standing,Away_Goals_Per_Game,Away_Shots_Per_Game,Away_SOT_Per_Game,Away_Corners_Per_Game,Away_Fouls_Per_Game,Away_Goals_Against_Per_Game,Away_Shots_Against_Per_Game,Away_SOT_Against_Per_Game,Away_Corners_Against_Per_Game,Away_Fouls_Against_Per_Game,Away_Reds_Last2,Away_Yellows_Last2,Home_H2H_Past3,Home_H2H_Past5,Away_H2H_Past3,Away_H2H_Past5,Match_Result
1,3,1,8,21,1.0,9.6,5.65,4.75,9.65,0,4,0.9,15.7,7.95,7.05,13.5,1,1,2,2,1,2.25,16.65,9.75,8.3,11.45,0.9,9.65,5.25,2.8,12.3,0,2,-1,-1,1,1,0
1,2,1,1,3,2.25,19.55,10.6,8.25,11.15,1,3,0.8,8.25,4.2,4.5,12.75,-1,-2,0,11,16,1.4,10.55,5.8,5.15,14.2,1.55,13.7,6.8,6.8,11.8,0,5,1,1,-1,-1,1
1,1,0,12,5,1.4,13.8,8.0,5.9,12.5,0,2,1.7,12.1,7.45,5.2,13.85,3,3,4,4,10,2.1,12.3,6.7,6.6,10.75,1.4,11.55,5.9,5.45,11.8,0,3,0,0,0,0,1
2,2,0,2,1,2.19,16.52,9.76,8.48,11.52,1,1,0.9,9.48,5.24,2.76,12.19,-2,-2,-1,14,21,1.1,10.15,5.85,5.1,11.2,2.0,14.35,8.6,5.3,11.8,1,5,-1,-1,1,1,1
-1,-2,1,11,12,0.9,9.1,4.35,4.5,12.85,0,3,1.25,13.55,8.0,6.95,9.6,1,1,2,8,2,1.85,14.75,8.75,7.8,12.5,1.25,9.1,5.2,3.6,11.9,0,1,-1,-1,1,1,0
2,2,1,5,8,2.1,15.8,9.05,5.2,11.1,0,2,1.1,12.55,7.05,5.35,13.25,-2,-3,0,18,17,1.0,9.05,5.2,4.2,14.4,2.1,15.25,8.3,7.0,14.75,0,2,1,1,-1,-1,0
-1,-1,-2,17,21,0.85,10.4,6.05,5.8,12.7,1,4,1.8,12.9,7.75,5.2,10.75,-2,-3,-1,15,11,1.11,13.16,6.84,4.32,12.37,2.32,14.26,8.0,6.42,12.26,0,2,1,1,-1,-1,-1
-1,1,-2,6,6,1.45,11.05,6.05,5.75,13.9,0,4,0.9,13.6,7.8,6.45,11.65,0,-2,-1,19,9,1.4,12.45,7.2,4.65,12.55,1.85,15.9,8.9,7.05,13.45,0,3,-1,-1,1,1,0
-1,-3,-1,14,15,1.0,11.38,6.0,4.62,13.48,0,2,1.86,12.62,7.24,4.57,11.62,-2,-1,-2,9,7,1.3,10.55,5.45,4.8,10.9,1.1,11.1,5.25,5.85,11.95,0,1,-1,-1,1,1,1
2,4,1,3,4,2.62,14.67,8.71,7.0,10.52,0,3,1.1,8.48,4.9,3.33,13.24,-1,0,-1,19,13,1.37,13.21,6.79,5.26,13.74,2.0,15.63,9.32,7.53,11.63,0,2,1,1,-1,-1,1
